dataSource,dateOfReport,reportNo,pageRef,actionPlan,actionPlanName,actionPlanProgram,implementingAgency,agencyName,programName,programAcronym,programName2,assistanceType,asOfDate,targetBudget,expendedAmount,beneficiaryTargetTotal,beneficiaryTotal,beneficaryCategoryOrig,beneficiaryTypeOrig,region,province,cityMunicipality,dswd,lgu,ngos,others,grandTotal,notes,notes2,index,agency,agencyCode,aidCategory,aidCategoryCode,aidType,assistanceType,agencyAllocated,value,shareOfTotalBudget,date,beneficiaryTargetValue,beneficiaryValue,beneficiaryCategory,beneficiaryType,shareOfPop,link,infoText
Report to the Joint Congressional Oversight Committee,5/11/20,,8,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,,various assistance,,,184739812,,43346,others,requests,,,,,,,,,medical or burial assistance requests,,22,DSWD,DSWD,social welfare,social,various assistance,Assistance to Individuals in Crisis Situation,0,184739812,0.1138,5/11/20,0,43346,others,requests,no data,users,"This assistance covers transporation, medical, or burial costs."
Report to the Joint Congressional Oversight Committee,5/25/20,,8,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Balik Probinsya,,,cash assistance,5/20/20,,"580,000",,116,others,individuals,,,,,,,,,,,23,DSWD,DSWD,social welfare,social,various assistance,Balik Probinsya Program,0,580000,0.0004,5/20/20,0,116,others,individuals,no data,users,"Beneficiaries were given P5,000 and vegetable gardening starter kits. They will later undergo skills training and receive livelihood opportunuties."
Report to the Joint Congressional Oversight Committee,5/11/20,,8,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,1640007000,,546669,vulnerable groups,older adults,,,,,,,,,,,24,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,1640007000,1.0099,5/11/20,0,546669,others,older adults,no data,universal-access,
Report to the Joint Congressional Oversight Committee,5/18/20,,8,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,2717703000,,905901,vulnerable groups,older adults,,,,,,,,,,,25,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,1077696000,0.6636,5/18/20,0,359232,others,older adults,no data,universal-access,
Report to the Joint Congressional Oversight Committee,5/25/20,,8,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,3563595000,,1187865,vulnerable groups,older adults,,,,,,,,,,,26,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,845892000,0.5209,5/25/20,0,281964,others,older adults,no data,universal-access,
Report to the Joint Congressional Oversight Committee,6/1/20,,9,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,5152752000,,1717584,vulnerable groups,older adults,,,,,,,,,"transportation, medical, or burial assistance requests",,27,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,1589157000,0.9786,6/1/20,0,529719,others,older adults,no data,universal-access,
Report to the Joint Congressional Oversight Committee,6/8/20,,6,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,5561487000,,1853829,vulnerable groups,older adults,,,,,,,,,,,28,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,408735000,0.2517,6/8/20,0,136245,others,older adults,no data,universal-access,
Report to the Joint Congressional Oversight Committee,6/15/20,,6,1,Providing emergency assistance to all affected sectors,Other Forms of Assistance,DSWD,Department of Social Welfare and Development,Social Pension for Indigent Senior Citizens,,,pension,,,6470382000,,2156794,vulnerable groups,older adults,,,,,,,,,,,29,DSWD,DSWD,social welfare,social,pension,Social Pension for Indigent Senior Citizens,0,908895000,0.5597,6/15/20,0,302965,others,older adults,no data,universal-access,
Report to the Joint Congressional Oversight Committee,4/6/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,4/3/20,,441940000,115835,88388,workers,formal workers,,,,,,,,,x workers in 6923 businesses,"discrepancy between April 6 (115,835) and 13 (115,806 beneficiaries) reports",30,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,441940000,0.2721,4/3/20,0,88388,workers,formal workers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,4/13/20,,"4,5",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DOLE,Department of Labor and Employment,COVID-19 Adjustment Measures Program,CAMP,,cash assistance,,,840000000,321975,167941,workers,formal workers,,,,,,,,,adjusted number of targets,,31,DOLE,DOLE,labor,labor,cash,COVID-19 Adjustment Measures Program,0,398060000,0.2451,4/13/20,0,79553,workers,formal workers,no data,people-carry,
